Article,Category
Dutch vote in tight election with far right set for gains,World
Deadly green mamba snake on the loose in Dutch city,World
Who are the Palestinian prisoners on Israel’s list for potential release?,World
What do we know about the Israel-Hamas hostage deal?,World
Families of Israeli hostages face an ‘excruciating’ wait for news after Israel and Hamas strike deal,World
A UAE company has secured African land the size of the UK for controversial carbon offset projects,World
Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,World
This beer is made from recycled shower water,World
Indian rescuers dig past halfway mark in efforts to reach trapped workers,World
‘I felt that Africans could also be part of this’: Meet the Kenyan stargazer inspiring children to look to the sky,World
North Korea claims to have put spy satellite into orbit. Analysts say that could make its military stronger,World
Israel considers potential hostage deal with Hamas,World
Frustrations spill over in Israel as hostage families demand answers from Netanyahu,World
"Exclusive: ‘Act now’ to keep US competitive in space race, senators say",World
SpaceX’s explosive test flight achieved key milestones. But there is still a long way to go,World
Majority of Palestinian prisoners eligible for release are male teens,World
Retired general on how Israel and Hamas will use the truce to their advantage,World
2-year-old dies after boat capsizes near Lampedusa,World
Video shows Israeli soldiers forcefully arresting Palestinian man in his home,World
"Iceland declares state of emergency, evacuates residents over threat of volcanic eruption",World
"More than 180,000 demonstrators march in France against antisemitism",World
Circus lion captured after hours on the loose near Rome,World
‘Be prepared for all outcomes’: Inside the saga of a supervolcano that’s waking up,World
British couple died on holiday after adjoining room fumigated for bed bugs,World
Ukraine claims it hit two Russian landing craft in Crimea with sea drones,World
"‘Hope is hard to come by’: In the Red Sea resort of Eilat, Israeli survivors from October 7 face a new threat",World
What we know about what Israel says it has found at Al-Shifa,World
CNN visited the exposed tunnel shaft in the Al-Shifa hospital compound. Here’s what we saw,World
"One evacuated from northern Gaza, the other didn’t. They’re in the same hospital now",World
‘Never going back:’ Israelis evacuated from border town with Lebanon fear war with Hezbollah,World
Five countries ask International Criminal Court to investigate the situation in Palestinian territories,World
The week in 35 photos,World
The Kenyan stargazer inspiring children to look to the sky,World
In pictures: Israel at war with Hamas,World
Green construction innovations,World
Liberia’s President George Weah concedes victory after tight run-off election,World
‘They called me a slave’: Witness testimony exposes alleged RSF-led campaign to enslave men and women in Sudan,World
Disturbing videos emerge showing atrocities against African ethnic groups in Darfur,World
Mass visa cancellations at Saudi airport puts relations with Nigeria in spotlight,World
"As Argentina heads to the polls, will a plan to ditch the peso for the dollar be a vote-winner?",World
Mexico’s first openly non-binary magistrate and prominent LGBTQ activist found dead,World
Protests against copper mine deal turn deadly in Panama,World
Pablo Escobar’s ‘cocaine hippos’ face Colombian government cull,World
Australian prime minister accuses Chinese navy of ‘dangerous’ conduct,World
Civilians caught in the crossfire as fighting escalates between Myanmar military and armed group,World
"Renewed fighting in Myanmar has displaced 26,000 people since Monday, UN says",World
This conservationist lost his eye in a tiger attack — but he’s still fighting to protect the king of the jungle,World
The best Christmas markets taking place around the world in 2023,World
First-ever World of Frozen opens at Hong Kong Disneyland,World
American Airlines reviewing viral video showing wheelchair crashing onto airport tarmac,World
The history of Macy’s Thanksgiving Parade: 5 facts you may not know,World
TSA rules: What’s allowed in — and prohibited from — your carry-on bag this holiday season,World
Look of the week: Emily Ratajkowski and the ultra-cinched puffer,World
Remember when Angelina Jolie’s thigh-high slit dress kickstarted the ‘Angelina Effect’?,World
Animatronic model of E.T.’s head expected to fetch up to $1 million at auction,World
The Iranian artist using painting to honor her lost homeland,World
Meet the Thai celebrities — and ‘boys love’ stars — becoming fashion’s newest power players,World
Disruptive Thanksgiving-week storm affecting much of the East as holiday travel rush begins,World
"Several tornadoes reported as dangerous storms fire up, threatening 20 million from Texas to the Southeast",World
"Significant Thanksgiving-week storm will disrupt travel with rain, snow and severe storms",World
Snow and rain to bring weather woes to millions of Thanksgiving travelers,World
Survivors of the ‘Nakba’ in Lebanon speak up about war in Gaza,World
Family member of hostage reacts to hostage release deal,World
‘My whole life is ruined’: Children describe shattered dreams after injuries in Gaza,World
"November 21, 2023 Israel-Hamas war",World
Ret. US general talks about the potential military impact of a four-day pause,World
Family member of hostage says he’s getting text messages from Hamas. Here’s what they say,World
Relative of three hostages anxiously awaits release deal,World
What about the hostages left out of proposed release deal?,World
Elon Musk sues Media Matters over antisemitism report,World
Napoleon Bonaparte’s hat is up for auction in Paris,World
Study reveals first mammal known to mate without using penetration,World
Dan Senor: Israel’s establishment feels ‘unbelievable burden of guilt’,World
‘Lost its soul’: Campaigners decry renovation of Thailand’s iconic ‘Robot Building’,World
This massive ‘floating’ museum is straight out of science fiction,World
"Skeletons unearthed in ‘incredibly rare’ 5,000-year-old Scottish tomb",World
See inside the $50M penthouse that will crown the Waldorf Astoria Miami,World
Sydney Opera House at 50: See what Australia’s best-known building could have looked like,World
Brazil vs. Argentina: Historic World Cup qualifier is overshadowed by violence and chaos at the Maracanã stadium,World
Baseball great Ichiro Suzuki throws shutout against a high school girls’ team in Japan,World
"Tom Brady is not impressed with today’s NFL, says there’s ‘a lot of mediocrity’",World
"LeBron James becomes the first NBA player to score 39,000 points as LA Lakers clinch In-Season Tournament knockout spot",World
Meet the people who are making the world a better place,World
CNN Heroes 2023 Voting Disclosures,World
CNN Heroes Legal Disclosures 2024,World
"For hundreds of migrant children living in shelters at the border, this CNN Hero’s mobile classrooms offer education and stability",World
New Hampshire voters take note as Haley rises in the polls,US Politics
Formation of new super PAC raises questions about tensions between DeSantis and Never Back Down,US Politics
"US fires on and kills hostile forces, launches precision airstrikes after attack in Iraq",US Politics
Biden campaign targets two key battleground states with ads during Thanksgiving Day football game,US Politics
"A futuristic airport terminal, a fish passage and ski town bus lanes: Infrastructure projects funded by the bipartisan law",US Politics
"Inside the painstaking negotiations between Israel, Hamas, the US and Qatar to free 50 hostages",US Politics
"Republican Celeste Maloy will win House special election in Utah, CNN projects",US Politics
Former Trump Org. controller breaks down in tears on witness stand in fraud trial,US Politics
Georgia judge declines to send Trump co-defendant in election fraud case to jail over social media posts,US Politics
"Hostage families welcome first, precarious hopes after Israel-Hamas deal",US Politics
Trump’s gag order appeal previews America’s grave election year stress test,US Politics
This may be Biden’s best hope of reversing his slide with Black and brown voters,US Politics
Polling shows a huge age gap divides the Democratic Party on Israel,US Politics
Haley and DeSantis still can’t solve their Trump problem as time runs short in GOP race,US Politics
Joe Biden is facing a near-historic deficit for an incumbent,US Politics
Protests encapsulate progressive angst that could imperil Biden’s 2024 campaign,US Politics
"Takeaways from the Biden-Xi summit, where low expectations were met",US Politics
"Despite the House passing a stopgap funding bill, representatives acted out a farce",US Politics
Hear how some 2024 candidates reacted to Israel-Hamas deal,US Politics
House speaker compares abortion to ‘American holocaust’ in audio clip,US Politics
"Biden, a pre-boomer, is losing the young voters Democrats need",US Politics
This geographic shift may decide Tuesday’s elections,US Politics
Fact checking the 3rd GOP debate of the 2024 election,US Politics
Fact check: Donalds makes inaccurate claim about Biden’s income to argue he couldn’t legitimately afford loan to his brother,US Politics
Mike Johnson’s America: Revisit landmark SCOTUS decisions and use government to ‘restrain evil’,US Politics
Arizona fake electors led vocal campaign to overturn the 2020 election – they’re now part of a ‘robust’ state investigation,US Politics
University of Tampa is the seventh college facing a Department of Education investigation in the wake of the Israel-Hamas war,US Politics
Colorado Supreme Court to hear appeals in 14th Amendment challenge to Trump’s candidacy,US Politics
Iowa evangelical leader Bob Vander Plaats endorses DeSantis’ presidential bid,US Politics
House Judiciary GOP subpoenas assistant US attorney involved in Hunter Biden probe,US Politics
Two more House lawmakers announce they won’t run for reelection,US Politics
White House declassifies intel suggesting Wagner Group is preparing to provide air defense capability to Hezbollah or Iran,US Politics
House Speaker Johnson meets with Trump at Mar-a-Lago,US Politics
These young Michigan voters are divided on Biden’s handling of the Israel-Hamas war and aren’t guaranteeing him their votes,US Politics
Fears grow in Congress over Ukraine and Israel aid amid dispute over immigration and spending cuts,US Politics
US Navy jet overshoots runway into water off Hawaii,US Politics
Exclusive: This pizza box-sized equipment could be key to Ukraine keeping the lights on this winter,US Politics
US Defense Secretary Austin makes surprise visit to Kyiv to reemphasize support for Ukraine,US Politics
Biden’s birthday prompts debate about age and wisdom of America’s oldest president,US Politics
"Utah man charged with threatening pro-Palestinian group in Washington, DC",US Politics
Appeals court strikes down key tool used to enforce Voting Rights Act,US Politics
Trump co-defendant says Georgia prosecutors are retaliating against him for rejecting a plea deal,US Politics
Trump releases doctor’s note saying he is in ‘excellent’ health,US Politics
Voting Rights Act ruling is latest attempt by Trump-nominated judges to overturn Supreme Court precedent,US Politics
US imposes visa restrictions on two Russian military officials for human rights violations in Ukraine,US Politics
Takeaways from the tense appeals court hearing over the Trump gag order in federal election subversion case,US Politics
Commission on Presidential Debates announces dates and locations for 2024 general election debates,US Politics
Fact check: Trump keeps saying he’s been indicted more than Al Capone. It’s not true,US Politics
White House eager to promote dropping prices this Thanksgiving season amid campaign headwinds,US Politics
Democratic Rep. Tony Cardenas of California won’t seek reelection,US Politics
Biden grants turkey justice as Liberty and Bell ride the gravy train to the White House,US Politics
In pictures: President John F. Kennedy,US Politics
In pictures: The assassination of President Kennedy,US Politics
In pictures: Former first lady Rosalynn Carter,US Politics
"Spotify to slash royalties for rain sounds, white noise and other non-music tracks",Business
"The NFL, Washington Post, and Walmart: Here are the major companies still advertising on X despite Elon Musk’s antisemitic endorsement",Business
Here are the dozen brands that have paused ads on X amid ongoing crisis for Elon Musk’s platform,Business
Economist Larry Summers joins the board of OpenAI as ousted CEO Sam Altman returns,Business
Mortgage rates fall for fourth week but stay above 7%,Business
5 takeaways from America’s biggest crypto crackdown in history,Business
"OpenAI: The cast of characters of Silicon Valley’s latest, juiciest upheaval",Business
Gas prices could fall further as oil drops 4% on OPEC meeting delay,Business
Sam Altman returns to OpenAI in a bizarre reversal of fortunes,Business
EU stops advertising on X over hate speech. Fines could follow next year,Business
This Moroccan startup is growing crops in the desert,Business
Warren Buffett donates $870 million to charities ahead of Thanksgiving,Business
What’s open and closed on Thanksgiving Day 2023,Business
OpenAI’s wild week. How the Sam Altman story unfolded,Business
"Jake Tapper reveals challenges of covering war, why he feels news outlets ‘censor too much’ and what has left him ‘shocked’",Business
Chicken wings are on Popeyes menu for good,Business
CEO of Chinese online game streaming firm arrested amid executive crackdown,Business
"What is Binance, why is it in so much trouble, and what does it mean for crypto?",Business
Democrats accuse X of profiting from Hamas propaganda,Business
"Paris Hilton’s media company suspends ads on X, one month after agreeing to touted partnership with the platform",Business
CEO of world’s largest cryptocurrency exchange pleads guilty to money laundering violations,Business
OpenAI’s turmoil is about more than Sam Altman,Business
Holiday shopping: Month-long sale season may dilute the impact of Black Friday,Business
Inside London’s ‘zero-waste’ fine dining restaurant,Business
Former CEO Sam Altman to return to OpenAI,Business
Why the US government is still working with Elon Musk amid antisemitic comments,Business
"Top AI firm fires CEO, amid debate over AI",Business
Can Argentina really move from the peso to the dollar?,Business
Tesla shareholder calls on board to suspend Elon Musk for agreeing with antisemitic post,Business
Prices for a set of Messi’s World Cup jerseys could exceed a record $10 million,Business
Sam Altman warns AI could kill us all. But he still wants the world to use it,Business
Sam Altman is back at OpenAI … with a guest badge,Business
Argentina election: Milei’s victory puts the peso’s future in doubt,Business
From Sin City to Sports Central: How Las Vegas is betting big on a lucrative industry,Business
Extreme weather and falling demand are pushing wineries into the red,Business
The US government printed more than 750 million $50 bills in 2022. Here’s why,Business
Recent college grad says his life was turned upside down by Elon Musk. Now he’s fighting back,Business
500+ OpenAI employees threaten to quit over CEO firing,Business
Over 500 employees sign scathing letter to OpenAI over Altman’s firing. Here’s what it says,Business
Energy execs: Europe in a ‘better position’ this winter,Business
Interest rates are high. These are the best places to park your cash,Business
"The Powerball jackpot is huge, but here are 3 better ways to increase your wealth",Business
Why aren’t more women leading US companies? Americans weigh in,Business
Gen Xers are next in line for retirement. Many haven’t saved nearly enough,Business
Bumble founder Whitney Wolfe Herd steps down as CEO. She’ll be replaced by Slack’s leader,Business
"Behold ‘Grok,’ Elon Musk’s AI chatbot with a ‘rebellious’ streak",Business
Epic Games goes to court to challenge Google’s App store practices,Business
"Google, Lendlease axe plans for $15 billion development in Bay Area",Business
Striking actors are reviewing Hollywood and TV studios’ ‘best and final offer’,Business
William Lewis is named publisher and CEO of the Washington Post,Business
White House condemns Fox News for ‘standing up on behalf of hate’ after host attacks CNN anchors’ Jewish heritage,Business
White House calls on Fox News to apologize after top host’s ‘sickening’ Islamophobic rant,Business
"Earn up to 95,000 bonus points or three free nights with these Marriott credit card offers",Business
Should you buy airline miles and hotel points? Everything you need to know,Business
The 10 best credit cards for airline and hotel elite status benefits,Business
How you can earn Marriott’s top levels of elite status in 2023 just by holding a credit card,Business
Why lab-grown diamond sales are surging,Business
The Chevrolet Corvette is officially going electric,Business
This social app prohibits edited photos to encourage users to be more authentic. It’s growing fast,Business
"BMW reveals its new $120,000 electric flagship",Business
Apple’s ‘scary fast’ upgrades hint at its vision for the AI era,Business
Cold weather testing: Airplanes endure punishing extremes,Business
"In less than a week, Sam Bankman-Fried’s $16 billion fortune evaporated",Business
"What is Binance, why is it in so much trouble, and what does it mean for crypto?",Markets
CEO of world’s largest cryptocurrency exchange pleads guilty to money laundering violations,Markets
"As the CEO of Land O’Lakes, she’s changing the rules of American farming",Markets
Microsoft stock hits all-time high after hiring former OpenAI CEO Sam Altman,Markets
Can Argentina really move from the peso to the dollar?,Markets
A record number of $50 bills were printed last year. It’s not why you think,Markets
"Falling prices may sound good, but deflation can be dangerous. Here’s why",Markets
An Alabama mom is pregnant in each of her two uteruses in an extremely rare case of twins,Health
"‘A living hell inside of my head’: For first time, more advanced stage of CTE diagnosed in teen football player",Health
"Death, preterm labor reported in Listeria outbreak linked to recalled peaches, plums, nectarines",Health
Even more free home Covid-19 tests are available for order from the US government,Health
"Births have increased in states with abortion bans, research finds",Health
"After more reports of illnesses from recalled applesauce pouches, FDA is screening cinnamon shipments for lead",Health
"As holiday season gets underway, here’s how to protect yourself and your family from respiratory viruses",Health
"Covid-19 vaccination rate is ‘lower than we’d like to see,’ CDC says",Health
"Another study links ultraprocessed foods to cancer, but questions remain",Health
"People taking ADHD medications should closely monitor their heart health, study suggests",Health
The essentials list: Tennis champ Coco Gauff shares her 7 everyday essentials,Health
FDA considers first CRISPR gene editing treatment that may cure sickle cell,Health
"As Earth’s temperature rises, so do deaths among people with mental health problems",Health
"Cantaloupe, fruit products recalled amid CDC investigation of salmonella infections",Health
Ultraprocessed foods now account for two-thirds of calories in the diets of children and teens,Health
Why you ‘regress’ when you go home for the holidays — and how to avoid it,Health
Study reveals first mammal known to mate without using penetration,Health
"Exclusive: ‘Act now’ to keep US competitive in space race, senators say",Health
"The most powerful rocket ever built just went farther than it had ever gone, then was lost",Health
Keep an eye on the sky for the Leonid meteor shower this weekend,Health
It’s time to walk the dog (and yourself) for better fitness,Health
5 things to do when you’re depressed,Health
"Developing multiple health conditions, including cancer, linked to ultraprocessed foods",Health
Being a nice person is not the same as being kind. Why the difference is so important,Health
Seasonal affective disorder doesn’t mean you have to be SAD. Here are 6 ways to fight the blues,Health
"Cutting 1 teaspoon of salt works as well as blood pressure meds, study finds",Health
Opinion: Here’s one more reason to stop shaming parents,Health
"To survive a long flight in coach, bring these 5 items",Health
"How not to slice an onion, according to a chef",Health
What is ultraprocessed food? Nutritionist explains why it can taste different,Health
"About three-quarters of Americans do not fear getting Covid-19 this holiday season, KFF survey finds",Health
CRISPR treatment has been greenlit in UK in global first. Here’s who it could help,Health
WHO makes loneliness a global health priority with new Commission on Social Connection,Health
Clap with me now for Marlon Wayans,Health
"For second year in a row, US gets D+ grade for high preterm birth rate: ‘There’s so much work to be done’",Health
‘Squid Game: The Challenge’ turns the dystopian drama into a super-sized ‘Big Brother’,Entertainment
"Matt Rife stirs backlash with domestic abuse joke, responds with link to medical helmets",Entertainment
Ralph Macchio and Jackie Chan to kick off another chapter of ‘The Karate Kid’ franchise,Entertainment
Martha Stewart clarifies her holiday plans: ‘It’s not true that I gave up Thanksgiving!’,Entertainment
The Rolling Stones are hitting the road next year on a tour sponsored by AARP,Entertainment
"BTS members RM, Jimin, V and Jung Kook enlist for South Korean military service",Entertainment
Cara Delevingne says Travis Kelce and her friend Taylor Swift’s relationship is ‘very different’,Entertainment
"André 3000 thinks he’s too old to keep rapping. Jay-Z, Eminem and Big Boi would like a word",Entertainment
‘Wish’ tries to thaw out some of Disney’s ‘Frozen’ magic,Entertainment
Gayle King says Oprah told her to stop begging Jay-Z for an interview,Entertainment
‘Monarch: Legacy of Monsters’ could use more Godzilla and fewer people,Entertainment
I listened to Dolly Parton’s new 2 1/2 hour-long ‘Rockstar’ album in one sitting. This is what I took away,Entertainment
Scott Pilgrim Then vs. Now,Entertainment
How ‘The Day After’ brought Americans together – and helped end the Cold War,Entertainment
‘Rustin’ dutifully gives the March on Washington leader an overdue showcase,Entertainment
Gwyneth Paltrow explains why she ‘stepped away’ from acting after Apple’s birth,Entertainment
David Letterman returns to ‘The Late Show’,Entertainment
Ridley Scott isn’t done talking or creating: ‘It’s fuel to me’,Entertainment
Shakira settles tax evasion suit with Spanish authorities,Entertainment
‘The Walking Dead: The Ones Who Live’ gets teaser and premiere date,Entertainment
Bradley Cooper practiced six years for six minutes of conducting in ‘Maestro’,Entertainment
‘Modern Family’ cast reunited with one notable absence,Entertainment
Susan Sarandon is no longer represented by UTA after comments made at pro-Palestinian rally,Entertainment
‘Fargo’s’ fifth season feels too much like an accent in search of a series,Entertainment
‘Next Goal Wins’ takes a shot with Taika Waititi’s whimsical soccer comedy,Entertainment
‘The Crown’ turns to Princess Diana in its final season,Entertainment
‘Napoleon’ saddles up Joaquin Phoenix to lead the charge in Ridley Scott’s chilly epic,Entertainment
‘The Hunger Games: The Ballad of Songbirds & Snakes’ falls flat in going back to the future,Entertainment
How Usher is preparing for his Super Bowl performance to take it to ‘another level’,Entertainment
‘Albert Brooks: Defending My Life’ dines out on the career of a comedy genius,Entertainment
Meet the Season 6 cast of ‘The Crown’,Entertainment
OutKast’s André ‘3000’ is releasing an instrumental flute album,Entertainment
‘The Gilded Age’ builds its soapy second season around a fight at the opera,Entertainment
Sylvester Stallone reminisces about his ‘Rocky’ rise in the nostalgic ‘Sly’,Entertainment
‘Black Cake’ rises to the challenge of adapting Charmaine Wilkerson’s mystery,Entertainment
"‘Saltburn’ director Emerald Fennell explores the dark side of the British ruling class: ‘Everything is personal, isn’t it?’",Entertainment
Please Don’t Destroy gets a bigger canvas for the same shtick in ‘The Treasure of Foggy Mountain’,Entertainment
‘Inside Out 2’ teaser introduces a new emotion we can all relate to,Entertainment
"The internet chewed up and spat out Nicolas Cage. With ‘Dream Scenario,’ he’s processing all that",Entertainment
‘The Holdovers’ passes the ‘should see’ test with flying colors,Entertainment
How ‘Nightmare Before Christmas’ went from cult classic to beloved Disney property,Entertainment
"Spotify to slash royalties for rain sounds, white noise and other non-music tracks",Tech
"The NFL, Washington Post, and Walmart: Here are the major companies still advertising on X despite Elon Musk’s antisemitic endorsement",Tech
Here are the dozen brands that have paused ads on X amid ongoing crisis for Elon Musk’s platform,Tech
Economist Larry Summers joins the board of OpenAI as ousted CEO Sam Altman returns,Tech
